,sentence_num,word,n_fix,first_fix_dur,first_pass_dur,total_fix_dur,mean_fix_dur,fix_prob,n_refix,reread_prob
0,0,For,0.7,91.4,103.9,124.9,92.2,0.5,0.2,0.2
1,0,the,0.6,108.6,131.3,120.6,104.7,0.5,0.1,0.1
2,0,first,1.1,199.5,199.5,238.9,193.0,0.9,0.2,0.2
3,0,11,0.3,46.2,46.2,46.2,46.2,0.3,0.0,0.0
4,0,years,1.0,151.6,184.5,184.5,144.0,0.7,0.3,0.2
5,0,of,0.4,77.7,77.7,77.7,77.7,0.4,0.0,0.0
6,0,her,0.6,126.1,126.1,126.1,126.1,0.6,0.0,0.0
7,0,"life,",0.4,98.0,98.0,98.0,98.0,0.4,0.0,0.0
8,0,that,0.9,190.2,190.2,217.7,217.7,0.9,0.0,0.0
9,0,is,0.5,99.9,99.9,99.9,99.9,0.5,0.0,0.0
10,0,until,1.0,86.6,127.8,175.0,84.45,0.5,0.5,0.3
11,0,the,0.4,62.4,62.4,62.4,62.4,0.4,0.0,0.0
12,0,abdication,1.9,182.7,240.8,327.7,178.725,1.0,0.9,0.5
13,0,of,0.2,26.1,26.1,26.1,26.1,0.2,0.0,0.0
14,0,her,0.9,121.9,162.8,171.2,125.75,0.7,0.2,0.2
15,0,"uncle,",0.9,154.5,154.5,154.5,154.5,0.9,0.0,0.0
16,0,King,0.8,128.9,141.6,141.6,122.9,0.7,0.1,0.1
17,0,Edward,0.9,184.7,184.7,184.7,184.7,0.9,0.0,0.0
18,0,"VIII,",1.0,163.8,174.9,194.5,163.2,0.8,0.2,0.2
19,0,neither,1.2,188.5,223.3,240.8,196.35,0.9,0.3,0.3
20,0,she,0.6,119.2,119.2,119.2,119.2,0.6,0.0,0.0
21,0,nor,1.1,163.8,163.8,186.7,167.0,1.0,0.1,0.1
22,0,her,0.3,36.7,36.7,36.7,36.7,0.3,0.0,0.0
23,0,father,1.1,138.2,156.3,171.6,131.16666666666666,0.8,0.3,0.2
24,0,had,0.4,75.4,75.4,75.4,75.4,0.4,0.0,0.0
