,word,n_fix,first_fix_dur,first_pass_dur,total_fix_dur,mean_fix_dur,fix_prob,n_refix,reread_prob
0,Are,0.8,108.0,126.4,126.4,109.55,0.7,0.1,0.1
1,tourists,2.0,173.6,261.0,312.8,156.68333333333334,1.0,1.0,0.5
2,enticed,1.4,227.2,269.5,318.6,233.45,1.0,0.4,0.4
3,by,1.3,145.1,177.7,267.8,142.3,0.7,0.6,0.4
4,these,1.9,173.9,199.3,364.0,188.7,1.0,0.9,0.6
5,attractions,2.2,213.0,301.2,469.5,202.15833333333336,1.0,1.2,0.8
6,threatening,2.3,217.8,304.1,461.1,211.34666666666664,1.0,1.3,0.7
7,their,1.2,227.0,247.5,269.0,229.1,1.0,0.2,0.2
8,very,0.9,171.9,190.3,210.5,164.25,0.7,0.2,0.2
9,existence?,2.3,208.7,298.8,517.1,216.28666666666663,1.0,1.3,0.5
10,The,0.2,47.6,47.6,47.6,47.6,0.2,0.0,0.0
11,two,0.9,130.9,138.7,192.8,126.95,0.6,0.3,0.3
12,young,0.8,155.5,155.5,190.8,151.86666666666665,0.6,0.2,0.1
13,sea-lions,1.7,199.6,326.4,368.0,219.2333333333333,1.0,0.7,0.6
14,took,1.0,169.3,169.3,198.9,167.15,0.8,0.2,0.2
15,not,1.4,248.3,248.3,350.1,232.68333333333334,0.9,0.5,0.4
16,the,0.8,127.9,127.9,188.3,106.91666666666667,0.5,0.3,0.2
17,slightest,1.2,233.8,254.8,268.9,224.9,1.0,0.2,0.2
18,interest,1.3,237.5,270.8,303.7,237.3,1.0,0.3,0.3
19,in,0.3,72.0,72.0,72.0,72.0,0.3,0.0,0.0
20,our,1.1,151.6,191.0,204.5,153.91666666666666,0.8,0.3,0.2
21,arrival.,1.3,193.2,211.1,249.8,195.3,1.0,0.3,0.3
22,They,0.8,106.3,130.5,165.8,117.15,0.6,0.2,0.2
23,were,0.1,26.5,26.5,26.5,26.5,0.1,0.0,0.0
24,playing,1.4,150.9,232.5,232.5,153.5,0.8,0.6,0.4
25,on,0.2,34.5,34.5,34.5,34.5,0.2,0.0,0.0
26,the,0.8,124.0,155.0,164.6,146.3,0.7,0.1,0.1
27,"jetty,",1.1,139.5,186.1,201.5,133.6,0.7,0.4,0.4
28,rolling,1.2,196.4,215.6,239.1,200.7,1.0,0.2,0.2
29,over,0.9,161.5,168.7,168.7,152.75,0.8,0.1,0.1
30,and,0.7,101.8,119.4,119.4,87.85,0.5,0.2,0.2
31,tumbling,1.1,210.3,221.7,221.7,205.65,1.0,0.1,0.1
32,into,1.0,127.7,177.6,177.6,125.2,0.7,0.3,0.3
33,the,0.5,100.3,100.3,110.5,110.5,0.5,0.0,0.0
34,water,0.6,101.5,101.5,101.5,101.5,0.6,0.0,0.0
35,"together,",1.8,193.5,407.1,433.5,180.61,0.8,1.0,0.4
36,entirely,0.7,160.6,160.6,160.6,160.6,0.7,0.0,0.0
37,ignoring,0.9,168.7,185.0,185.0,166.25,0.8,0.1,0.1
38,the,0.3,40.6,40.6,46.5,30.25,0.2,0.1,0.1
39,human,0.8,124.7,151.0,151.0,116.4,0.6,0.2,0.2
40,beings,1.2,168.9,227.2,247.6,173.3,0.8,0.4,0.3
