Are                                 1  1 1   1   1   0   3   3   0   0   0     1     351   
tourists                            1  1 1   2   2   4   8   8   0   0   0     2       3   
enticed                             1  1 1   3   3  13   7   7   0   0   0     3       1   
by                                  1  1 1   4   4  21   2   2   0   0   0     4     252   
these                               1  1 1   5   5  24   5   5   0   0   0     5      73   
attractions                         1  1 1   6   6  30  11  11   0   0   0     6       2   
threatening                         1  1 1   7   7  42  11  11   0   0   0     7       3   
their                               1  1 1   8   8  54   5   5   0   0   0     8     225   
very                                1  1 1   9   9  60   4   4   0   0   0     9      56   
existence?                          1  1 1  10  10  65  10   9   5   0   1    10       4   
The                                 1  1 2   1  11   0   3   3   0   0   0    11    3511   
two                                 1  1 2   2  12   4   3   3   0   0   0    12      43   
young                               1  1 2   3  13   8   5   5   0   0   0    13      43   
sea-lions                           1  1 2   4  14  14   9   9   0   0   0    14     -99   
took                                1  1 2   5  15  24   4   4   0   0   0    15      17   
not                                 1  1 2   6  16  29   3   3   0   0   0    16     277   
the                                 1  1 2   7  17  33   3   3   0   0   0    17    3511   
slightest                           1  1 2   8  18  37   9   9   0   0   0    18       3   
interest                            1  1 2   9  19  47   8   8   0   0   0    19      17   
in                                  1  1 2  10  20  56   2   2   0   0   0    20    1091   
our                                 1  1 2  11  21  59   3   3   0   0   0    21      84   
arrival.                            1  1 2  12  22  63   8   7   1   0   1    22       2   
They                                1  1 2  13  23  72   4   4   0   0   0    23     258   
were                                1  1 3   1  24   0   4   4   0   0   0    24     106   
playing                             1  1 3   2  25   5   7   7   0   0   0    25       6   
on                                  1  1 3   3  26  13   2   2   0   0   0    26     417   
the                                 1  1 3   4  27  16   3   3   0   0   0    27    3511   
jetty,                              1  1 3   5  28  20   6   5   2   0   1    28       1   
rolling                             1  1 3   6  29  27   7   7   0   0   0    29       1   
over                                1  1 3   7  30  35   4   4   0   0   0    30      76   
and                                 1  1 3   8  31  40   3   3   0   0   0    31    1283   
tumbling                            1  1 3   9  32  44   8   8   0   0   0    32       1   
into                                1  1 3  10  33  53   4   4   0   0   0    33      82   
the                                 1  1 3  11  34  58   3   3   0   0   0    34    3511   
water                               1  1 3  12  35  62   5   5   0   0   0    35       6   
together,                           1  1 3  13  36  68   9   8   2   0   1    36       5   
