,word,n_fix,first_fix_dur,first_pass_dur,total_fix_dur,mean_fix_dur,fix_prob,n_refix,reread_prob
0,Um,1.0,229.0,229.0,229.0,229.0,1.0,0.0,0.0
1,das,2.0,0.0,0.0,538.0,269.0,1.0,1.0,1.0
2,Vorhandensein,4.0,0.0,0.0,1220.0,305.0,1.0,3.0,1.0
3,der,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Polymerasekettenreaktion-Produkte,23.0,0.0,0.0,7315.0,318.0434782608698,1.0,22.0,1.0
5,feststellen,9.0,0.0,0.0,2274.0,252.66666666666677,1.0,8.0,1.0
6,zu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,können,2.0,0.0,0.0,402.0,201.0,1.0,1.0,1.0
8,verwendet,2.0,0.0,0.0,568.0,284.0,1.0,1.0,1.0
9,man,1.0,0.0,0.0,433.0,433.0,1.0,0.0,0.0
10,die,1.0,0.0,0.0,123.0,123.0,1.0,0.0,0.0
11,Gelelektrophorese,9.0,0.0,0.0,3000.0,333.3333333333333,1.0,8.0,1.0
12,mit,1.0,0.0,0.0,287.0,287.0,1.0,0.0,0.0
13,einer,3.0,0.0,0.0,739.0,246.33333333333323,1.0,2.0,1.0
14,anschließenden,5.0,137.0,137.0,1589.0,317.8,1.0,4.0,1.0
15,Behandlung,2.0,297.0,297.0,568.0,284.0,1.0,1.0,1.0
16,des,2.0,0.0,0.0,347.0,173.5,1.0,1.0,1.0
17,Gels,2.0,217.0,217.0,467.0,233.5,1.0,1.0,1.0
18,durch,1.0,232.0,232.0,232.0,232.0,1.0,0.0,0.0
19,Ethidiumbromid<eos>,13.0,226.0,2025.0,4076.0,313.5384615384616,1.0,12.0,1.0
20,Bei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,dieser,3.0,296.0,498.0,737.0,245.66666666666677,1.0,2.0,1.0
22,Methode,2.0,215.0,215.0,397.0,198.5,1.0,1.0,1.0
23,wird,2.0,399.0,399.0,586.0,293.0,1.0,1.0,1.0
24,die,1.0,0.0,0.0,209.0,209.0,1.0,0.0,0.0
25,negative,5.0,119.0,494.0,1194.0,238.80000000000013,1.0,4.0,1.0
26,Ladung,4.0,219.0,219.0,633.0,158.25,1.0,3.0,1.0
27,der,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,DNA-Fragmente,8.0,258.0,747.0,2025.0,253.125,1.0,7.0,1.0
29,genutzt<eos>,3.0,343.0,343.0,876.0,292.0,1.0,2.0,1.0
30,Die,1.0,260.0,260.0,260.0,260.0,1.0,0.0,0.0
31,DNA-Fragmente,7.0,297.0,598.0,1963.0,280.4285714285715,1.0,6.0,1.0
32,sind,1.0,234.0,234.0,234.0,234.0,1.0,0.0,0.0
33,auf,1.0,0.0,0.0,206.0,206.0,1.0,0.0,0.0
34,Grund,2.0,258.0,258.0,473.0,236.5,1.0,1.0,1.0
35,der,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,darin,1.0,399.0,399.0,399.0,399.0,1.0,0.0,0.0
37,enthaltenen,4.0,392.0,601.0,977.0,244.25,1.0,3.0,1.0
38,Phosphatreste,9.0,174.0,1175.0,1928.0,214.22222222222234,1.0,8.0,1.0
39,negativ,3.0,304.0,304.0,552.0,184.0,1.0,2.0,1.0
40,geladen<eos>,2.0,285.0,285.0,527.0,263.5,1.0,1.0,1.0
41,Anlegen,2.0,508.0,508.0,898.0,449.0,1.0,1.0,1.0
42,eines,1.0,214.0,214.0,214.0,214.0,1.0,0.0,0.0
43,elektrischen,3.0,318.0,487.0,727.0,242.33333333333323,1.0,2.0,1.0
44,Feldes,2.0,397.0,397.0,947.0,473.5,1.0,1.0,1.0
45,lässt,2.0,243.0,243.0,501.0,250.5,1.0,1.0,1.0
46,die,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Polymerasekettenreaktion-Produkte,9.0,216.0,1806.0,3013.0,334.77777777777754,1.0,8.0,1.0
48,durch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,ein,3.0,343.0,343.0,798.0,266.0,1.0,2.0,1.0
50,gelartiges,6.0,288.0,288.0,887.0,147.83333333333337,1.0,5.0,1.0
51,Medium,6.0,118.0,234.0,1211.0,201.8333333333333,1.0,5.0,1.0
52,zumeist,2.0,500.0,500.0,744.0,372.0,1.0,1.0,1.0
53,Agarose,8.0,564.0,723.0,2037.0,254.625,1.0,7.0,1.0
54,wandern<eos>,3.0,490.0,490.0,957.0,319.0,1.0,2.0,1.0
55,Die,1.0,234.0,234.0,234.0,234.0,1.0,0.0,0.0
56,DNA-Fragmente,6.0,278.0,1012.0,1421.0,236.83333333333323,1.0,5.0,1.0
57,wandern,2.0,499.0,499.0,725.0,362.5,1.0,1.0,1.0
58,durch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,das,2.0,215.0,215.0,429.0,214.5,1.0,1.0,1.0
60,Agarose-Sieb,5.0,218.0,860.0,1501.0,300.19999999999993,1.0,4.0,1.0
61,vom,2.0,268.0,268.0,429.0,214.5,1.0,1.0,1.0
62,Minuspol,5.0,150.0,556.0,819.0,163.8000000000001,1.0,4.0,1.0
63,zum,1.0,0.0,0.0,175.0,175.0,1.0,0.0,0.0
64,Pluspol<eos>,5.0,309.0,594.0,1013.0,202.60000000000005,1.0,4.0,1.0
65,Kleinere,4.0,551.0,551.0,1176.0,294.0,1.0,3.0,1.0
66,Fragmente,4.0,704.0,704.0,1360.0,340.0,1.0,3.0,1.0
67,wandern,4.0,621.0,913.0,1367.0,341.75,1.0,3.0,1.0
68,schneller,3.0,393.0,393.0,808.0,269.3333333333332,1.0,2.0,1.0
69,durch,1.0,206.0,206.0,206.0,206.0,1.0,0.0,0.0
70,das,2.0,166.0,166.0,341.0,170.5,1.0,1.0,1.0
71,Agarose-Sieb,6.0,161.0,793.0,1472.0,245.33333333333323,1.0,5.0,1.0
72,daher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,befinden,4.0,308.0,509.0,1080.0,270.0,1.0,3.0,1.0
74,sie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,sich,2.0,419.0,419.0,624.0,312.0,1.0,1.0,1.0
76,in,3.0,494.0,494.0,901.0,300.33333333333326,1.0,2.0,1.0
77,der,1.0,0.0,0.0,370.0,370.0,1.0,0.0,0.0
78,Nähe,3.0,182.0,182.0,612.0,204.0,1.0,2.0,1.0
79,zum,3.0,142.0,163.0,368.0,122.66666666666661,1.0,2.0,1.0
80,Pluspol,4.0,221.0,281.0,718.0,179.5,1.0,3.0,1.0
81,des,2.0,0.0,0.0,549.0,274.5,1.0,1.0,1.0
82,Gels<eos>,2.0,231.0,231.0,451.0,225.5,1.0,1.0,1.0
83,Die,2.0,159.0,159.0,385.0,192.5,1.0,1.0,1.0
84,größeren,2.0,401.0,401.0,713.0,356.5,1.0,1.0,1.0
85,Fragmente,2.0,315.0,315.0,553.0,276.5,1.0,1.0,1.0
86,wandern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,langsamer,2.0,273.0,273.0,531.0,265.5,1.0,1.0,1.0
88,und,1.0,201.0,201.0,201.0,201.0,1.0,0.0,0.0
89,bleiben,2.0,244.0,244.0,469.0,234.5,1.0,1.0,1.0
90,in,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
91,der,1.0,0.0,0.0,186.0,186.0,1.0,0.0,0.0
92,Nähe,1.0,424.0,424.0,424.0,424.0,1.0,0.0,0.0
93,zum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Minuspol<eos>,2.0,251.0,251.0,390.0,195.0,1.0,1.0,1.0
95,Um,2.0,0.0,0.0,199.0,99.5,1.0,1.0,1.0
96,DNA-Fragmente,2.0,0.0,0.0,617.0,308.5,1.0,1.0,1.0
97,sichtbar,5.0,0.0,0.0,1021.0,204.1999999999999,1.0,4.0,1.0
98,zu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,machen,1.0,156.0,156.0,156.0,156.0,1.0,0.0,0.0
100,behandelt,2.0,296.0,296.0,584.0,292.0,1.0,1.0,1.0
101,man,1.0,279.0,279.0,279.0,279.0,1.0,0.0,0.0
102,das,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,Gel,1.0,280.0,280.0,280.0,280.0,1.0,0.0,0.0
104,mit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,einer,1.0,274.0,274.0,274.0,274.0,1.0,0.0,0.0
106,wässrigen,1.0,367.0,367.0,367.0,367.0,1.0,0.0,0.0
107,Lösung,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
108,von,1.0,229.0,229.0,426.0,426.0,1.0,0.0,0.0
109,Ethidiumbromid<eos>,15.0,314.0,1112.0,3534.0,235.6000000000001,1.0,14.0,1.0
110,Das,3.0,0.0,0.0,499.0,166.33333333333334,1.0,2.0,1.0
111,Molekül,5.0,0.0,0.0,1408.0,281.60000000000014,1.0,4.0,1.0
112,des,7.0,21.0,21.0,453.0,64.71428571428574,1.0,6.0,1.0
113,Ethidiumbromids,4.0,87.0,130.0,445.0,111.25,1.0,3.0,1.0
114,ist,1.0,239.0,239.0,239.0,239.0,1.0,0.0,0.0
115,planar,1.0,461.0,461.0,461.0,461.0,1.0,0.0,0.0
116,und,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,kann,3.0,250.0,459.0,690.0,230.0,1.0,2.0,1.0
118,sich,1.0,0.0,0.0,174.0,174.0,1.0,0.0,0.0
119,zwischen,3.0,158.0,158.0,405.0,135.0,1.0,2.0,1.0
120,den,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,Basen,1.0,356.0,356.0,356.0,356.0,1.0,0.0,0.0
122,der,1.0,226.0,226.0,226.0,226.0,1.0,0.0,0.0
123,DNA-Fragmente,3.0,274.0,274.0,720.0,240.0,1.0,2.0,1.0
124,einlagern<eos>,3.0,340.0,563.0,789.0,263.0,1.0,2.0,1.0
125,Nur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,nach,2.0,252.0,252.0,617.0,308.5,1.0,1.0,1.0
127,dem,2.0,0.0,0.0,523.0,261.5,1.0,1.0,1.0
128,Entstehen,3.0,156.0,156.0,480.0,160.0,1.0,2.0,1.0
129,eines,4.0,77.0,152.0,485.0,121.25,1.0,3.0,1.0
130,solchen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,Komplexes,3.0,314.0,314.0,729.0,243.0,1.0,2.0,1.0
132,und,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,durch,2.0,263.0,263.0,263.0,131.5,1.0,1.0,1.0
134,das,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,Beleuchten,5.0,338.0,338.0,1523.0,304.6000000000002,1.0,4.0,1.0
136,mit,2.0,0.0,0.0,360.0,180.0,1.0,1.0,1.0
137,UV-Licht,5.0,285.0,285.0,1205.0,241.0,1.0,4.0,1.0
138,kann,1.0,201.0,201.0,421.0,421.0,1.0,0.0,0.0
139,man,2.0,0.0,0.0,555.0,277.5,1.0,1.0,1.0
140,die,1.0,155.0,155.0,155.0,155.0,1.0,0.0,0.0
141,Polymerasekettenreaktion-Produkte,17.0,351.0,1206.0,1794.0,105.52941176470587,1.0,16.0,1.0
142,in,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,Form,2.0,294.0,294.0,511.0,255.5,1.0,1.0,1.0
144,von,1.0,0.0,0.0,538.0,538.0,1.0,0.0,0.0
145,Banden,4.0,254.0,254.0,1183.0,295.75,1.0,3.0,1.0
146,sehen,3.0,123.0,123.0,625.0,208.3333333333333,1.0,2.0,1.0
147,und,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
