,sentence_num,word,n_fix,first_fix_dur,first_pass_dur,total_fix_dur,mean_fix_dur,fix_prob,n_refix,reread_prob
0,0,Außerdem,2.0,0.0,0.0,598.0,299.0,1.0,1.0,1.0
1,0,wurde,3.0,314.0,314.0,809.0,269.6666666666668,1.0,2.0,1.0
2,0,bei,3.0,0.0,0.0,717.0,239.0,1.0,2.0,1.0
3,0,der,2.0,341.0,341.0,545.0,272.5,1.0,1.0,1.0
4,0,Streuung,4.0,437.0,437.0,1191.0,297.75,1.0,3.0,1.0
5,0,von,1.0,91.0,91.0,91.0,91.0,1.0,0.0,0.0
6,0,hochenergetischen,6.0,237.0,773.0,1777.0,296.16666666666674,1.0,5.0,1.0
7,0,Elektronen,8.0,234.0,234.0,1259.0,157.375,1.0,7.0,1.0
8,0,und,4.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0
9,0,Protonen,4.0,138.0,447.0,1621.0,405.25,1.0,3.0,1.0
10,0,an,1.0,0.0,0.0,159.0,159.0,1.0,0.0,0.0
11,0,Protonen,8.0,0.0,0.0,1228.0,153.5,1.0,7.0,1.0
12,0,und,1.0,0.0,0.0,271.0,271.0,1.0,0.0,0.0
13,0,Neutronen,5.0,0.0,0.0,1349.0,269.8000000000001,1.0,4.0,1.0
14,0,gefunden,2.0,0.0,0.0,485.0,242.5,1.0,1.0,1.0
15,0,dass,1.0,0.0,0.0,193.0,193.0,1.0,0.0,0.0
16,0,beide,2.0,0.0,0.0,413.0,206.5,1.0,1.0,1.0
17,0,Nukleonen,5.0,0.0,0.0,1034.0,206.80000000000013,1.0,4.0,1.0
18,0,viele,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0,Anregungszustände,8.0,0.0,0.0,1675.0,209.375,1.0,7.0,1.0
20,0,haben,2.0,0.0,0.0,497.0,248.5,1.0,1.0,1.0
21,1,Stark,3.0,303.0,303.0,1277.0,425.6666666666666,1.0,2.0,1.0
22,1,transpirierende,11.0,211.0,682.0,2465.0,224.09090909090904,1.0,10.0,1.0
23,1,Pflanzen,1.0,361.0,361.0,361.0,361.0,1.0,0.0,0.0
24,1,können,3.0,229.0,229.0,674.0,224.66666666666677,1.0,2.0,1.0
25,1,Nitrat,3.0,246.0,447.0,663.0,221.0,1.0,2.0,1.0
26,1,schneller,5.0,209.0,209.0,1333.0,266.60000000000014,1.0,4.0,1.0
27,1,zur,2.0,0.0,0.0,396.0,198.0,1.0,1.0,1.0
28,1,Wurzeloberfläche,10.0,276.0,644.0,2468.0,246.80000000000013,1.0,9.0,1.0
29,1,transportieren,4.0,285.0,285.0,1262.0,315.5,1.0,3.0,1.0
30,1,als,2.0,0.0,0.0,462.0,231.0,1.0,1.0,1.0
31,1,sie,4.0,208.0,208.0,954.0,238.5,1.0,3.0,1.0
32,1,es,2.0,239.0,239.0,391.0,195.5,1.0,1.0,1.0
33,1,im,2.0,0.0,0.0,324.0,162.0,1.0,1.0,1.0
34,1,Pflanzenkörper,5.0,517.0,517.0,1788.0,357.6000000000002,1.0,4.0,1.0
35,1,anreichern,5.0,346.0,346.0,1464.0,292.80000000000007,1.0,4.0,1.0
36,1,können,3.0,390.0,390.0,830.0,276.6666666666668,1.0,2.0,1.0
37,2,Da,1.0,0.0,0.0,149.0,149.0,1.0,0.0,0.0
38,2,im,5.0,192.0,192.0,1446.0,289.19999999999993,1.0,4.0,1.0
39,2,Inneren,3.0,360.0,360.0,765.0,255.0,1.0,2.0,1.0
40,2,der,1.0,227.0,227.0,227.0,227.0,1.0,0.0,0.0
41,2,Kammerhälften,13.0,188.0,662.0,3029.0,233.0,1.0,12.0,1.0
42,2,mit,2.0,0.0,0.0,458.0,229.0,1.0,1.0,1.0
43,2,metallischen,9.0,200.0,342.0,1793.0,199.2222222222223,1.0,8.0,1.0
44,2,Wänden,7.0,408.0,408.0,2745.0,392.142857142857,1.0,6.0,1.0
45,2,kein,3.0,0.0,0.0,766.0,255.33333333333323,1.0,2.0,1.0
46,2,elektrisches,6.0,251.0,517.0,1561.0,260.1666666666668,1.0,5.0,1.0
47,2,Feld,2.0,0.0,0.0,431.0,215.5,1.0,1.0,1.0
48,2,existiert,2.0,298.0,298.0,572.0,286.0,1.0,1.0,1.0
49,2,beschreiben,2.0,0.0,0.0,650.0,325.0,1.0,1.0,1.0
50,2,die,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2,Ionen,2.0,0.0,0.0,398.0,199.0,1.0,1.0,1.0
52,2,hier,2.0,0.0,0.0,412.0,206.0,1.0,1.0,1.0
53,2,im,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2,Magnetfeld,3.0,157.0,157.0,1037.0,345.66666666666663,1.0,2.0,1.0
55,2,einen,1.0,160.0,160.0,160.0,160.0,1.0,0.0,0.0
56,2,Halbkreis,5.0,268.0,461.0,1329.0,265.8000000000001,1.0,4.0,1.0
57,2,in,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2,der,2.0,0.0,0.0,975.0,487.5,1.0,1.0,1.0
59,2,x-y-Ebene,5.0,272.0,272.0,1374.0,274.8000000000001,1.0,4.0,1.0
60,2,dessen,3.0,247.0,534.0,870.0,290.0,1.0,2.0,1.0
61,2,Radius,1.0,363.0,363.0,363.0,363.0,1.0,0.0,0.0
62,2,durch,1.0,0.0,0.0,235.0,235.0,1.0,0.0,0.0
63,2,die,1.0,188.0,188.0,188.0,188.0,1.0,0.0,0.0
64,2,als,2.0,295.0,295.0,553.0,276.5,1.0,1.0,1.0
65,2,Zentripetalkraft,6.0,211.0,1017.0,1520.0,253.33333333333323,1.0,5.0,1.0
66,2,wirkende,2.0,231.0,231.0,462.0,231.0,1.0,1.0,1.0
67,2,Lorentzkraft,2.0,295.0,295.0,630.0,315.0,1.0,1.0,1.0
68,2,festgelegt,2.0,303.0,596.0,596.0,298.0,1.0,1.0,1.0
69,2,und,1.0,220.0,220.0,220.0,220.0,1.0,0.0,0.0
70,2,dessen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,2,Umlaufszeit,4.0,191.0,475.0,892.0,223.0,1.0,3.0,1.0
72,2,unabhängig,2.0,153.0,153.0,400.0,200.0,1.0,1.0,1.0
73,2,vom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,2,Radius,2.0,295.0,498.0,498.0,249.0,1.0,1.0,1.0
75,2,ist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,3,Böden,3.0,212.0,212.0,869.0,289.66666666666674,1.0,2.0,1.0
77,3,sind,1.0,258.0,258.0,258.0,258.0,1.0,0.0,0.0
78,3,heterogen,4.0,387.0,387.0,1285.0,321.25,1.0,3.0,1.0
79,3,und,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,3,weisen,5.0,184.0,422.0,887.0,177.39999999999998,1.0,4.0,1.0
81,3,Unterschiede,3.0,288.0,288.0,856.0,285.33333333333326,1.0,2.0,1.0
82,3,auf,1.0,0.0,0.0,202.0,202.0,1.0,0.0,0.0
83,3,kleinem,4.0,305.0,439.0,889.0,222.25,1.0,3.0,1.0
84,3,Raum,1.0,0.0,0.0,255.0,255.0,1.0,0.0,0.0
85,3,auf,1.0,194.0,194.0,194.0,194.0,1.0,0.0,0.0
86,4,Auf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,4,diese,2.0,286.0,286.0,491.0,245.5,1.0,1.0,1.0
88,4,Weise,2.0,180.0,180.0,357.0,178.5,1.0,1.0,1.0
89,4,kann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,4,man,2.0,271.0,271.0,443.0,221.5,1.0,1.0,1.0
91,4,Gestaltsänderungen,4.0,361.0,860.0,1046.0,261.5,1.0,3.0,1.0
92,4,feststellen,3.0,0.0,0.0,927.0,309.0,1.0,2.0,1.0
93,4,die,1.0,145.0,145.0,145.0,145.0,1.0,0.0,0.0
94,4,wesentlich,4.0,326.0,326.0,1206.0,301.5,1.0,3.0,1.0
95,4,kleiner,2.0,293.0,293.0,571.0,285.5,1.0,1.0,1.0
96,4,als,1.0,0.0,0.0,158.0,158.0,1.0,0.0,0.0
97,4,eine,2.0,0.0,0.0,395.0,197.5,1.0,1.0,1.0
98,4,Wellenlänge,6.0,338.0,338.0,1462.0,243.66666666666677,1.0,5.0,1.0
99,4,des,1.0,0.0,0.0,189.0,189.0,1.0,0.0,0.0
100,4,beleuchtenden,6.0,273.0,450.0,1219.0,203.1666666666667,1.0,5.0,1.0
101,4,Lichtes,6.0,310.0,310.0,1514.0,252.33333333333323,1.0,5.0,1.0
102,4,sind,3.0,187.0,187.0,727.0,242.33333333333323,1.0,2.0,1.0
103,5,Befindet,2.0,261.0,261.0,506.0,253.0,1.0,1.0,1.0
104,5,sich,1.0,120.0,120.0,120.0,120.0,1.0,0.0,0.0
